ball_x,ball_y,speed_x,speed_y,time_to_hit,pred_x,my_x,blocker_x,blocker_y,action
9,98,9,9,35.77777777777778,69.0,80,90,240,MOVE_LEFT
18,107,9,9,34.77777777777778,69.0,75,95,240,MOVE_LEFT
18,107,9,9,999,100,10,95,240,MOVE_RIGHT
27,116,9,9,999,100,15,100,240,MOVE_RIGHT
27,116,9,9,33.77777777777778,69.0,70,100,240,MOVE_LEFT
36,125,9,9,32.77777777777778,69.0,65,105,240,MOVE_LEFT
45,134,9,9,999,100,25,110,240,MOVE_RIGHT
45,134,9,9,31.77777777777778,69.0,60,110,240,MOVE_LEFT
54,143,9,9,999,100,30,115,240,MOVE_RIGHT
40,MOVE_LEFT
63,152,9,9,999,100,35,120,240,MOVE_RIGHT
63,152,9,9,29.77777777777778,69.0,50,120,240,NONE
72,161,9,9,999,100,40,125,240,MOVE_RIGHT
40,MOVE_LEFT
81,170,9,9,27.77777777777778,69.0,55,130,240,MOVE_LEFT
90,179,9,9,26.77777777777778,69.0,50,135,240,NONE
90,179,9,9,999,100,50,135,240,MOVE_RIGHT
99,188,9,9,999,100,55,140,240,MOVE_RIGHT
40,NONE
109,198,10,10,22.2,69.0,45,145,240,NONE
109,198,10,10,999,100,60,145,240,MOVE_RIGHT
119,208,10,10,21.2,69.0,50,150,240,NONE
119,208,10,10,999,100,65,150,240,MOVE_RIGHT
129,218,10,10,20.2,69.0,45,155,240,NONE
HT
139,228,10,10,19.2,69.0,45,160,240,NONE
139,228,10,10,999,100,75,160,240,MOVE_RIGHT
149,238,10,10,999,100,80,165,240,NONE
149,238,10,10,18.2,69.0,45,165,240,NONE
159,248,10,10,999,100,75,170,240,MOVE_RIGHT
159,248,10,10,17.2,69.0,40,170,240,MOVE_RIGHT
155,258,-4,10,999,100,80,165,240,NONE
_RIGHT
145,268,-10,10,999,100,80,160,240,NONE
145,268,-10,10,15.2,7.0,45,160,240,MOVE_LEFT
135,278,-10,10,14.2,7.0,40,155,240,MOVE_LEFT
135,278,-10,10,999,100,80,155,240,NONE
125,288,-10,10,999,100,85,150,240,MOVE_LEFT
125,288,-10,10,13.2,7.0,35,150,240,MOVE_LEFT
115,298,-10,10,999,100,80,145,240,NONE
115,298,-10,10,12.2,7.0,30,145,240,MOVE_LEFT
105,308,-10,10,999,100,85,140,240,MOVE_LEFT
105,308,-10,10,11.2,7.0,25,140,240,MOVE_LEFT
95,318,-10,10,10.2,7.0,20,135,240,MOVE_LEFT
85,328,-10,10,9.2,7.0,15,130,240,MOVE_LEFT
85,328,-10,10,999,100,80,130,240,NONE
75,338,-10,10,8.2,7.0,10,125,240,MOVE_LEFT
75,338,-10,10,999,100,80,125,240,NONE
65,348,-10,10,999,100,85,120,240,MOVE_LEFT
65,348,-10,10,7.2,7.0,5,120,240,MOVE_LEFT
55,358,-10,10,6.2,7.0,0,115,240,MOVE_LEFT
45,368,-10,10,5.2,7.0,0,110,240,MOVE_LEFT
45,368,-10,10,999,100,85,110,240,MOVE_LEFT
35,378,-10,10,4.2,7.0,0,105,240,MOVE_LEFT
35,378,-10,10,999,100,80,105,240,NONE
25,388,-10,10,3.2,7.0,0,100,240,MOVE_LEFT
25,388,-10,10,999,100,85,100,240,MOVE_LEFT
15,398,-10,10,999,100,85,95,240,MOVE_LEFT
15,398,-10,10,2.2,7.0,0,95,240,MOVE_LEFT
5,408,-10,10,1.2,7.0,0,90,240,MOVE_LEFT
